,model,acc,curriculum
833,0,1.0,non-sequential
834,0,0.0,non-sequential
835,0,0.0,non-sequential
836,0,1.0,non-sequential
837,0,1.0,non-sequential
838,0,1.0,non-sequential
839,0,1.0,non-sequential
840,0,1.0,non-sequential
841,0,1.0,non-sequential
842,0,1.0,non-sequential
843,0,1.0,non-sequential
844,0,1.0,non-sequential
845,0,1.0,non-sequential
846,0,1.0,non-sequential
847,0,1.0,non-sequential
848,0,1.0,non-sequential
849,0,1.0,non-sequential
850,0,1.0,non-sequential
851,0,1.0,non-sequential
852,0,1.0,non-sequential
853,0,0.0,non-sequential
854,0,1.0,non-sequential
855,0,1.0,non-sequential
856,0,1.0,non-sequential
857,0,0.0,non-sequential
858,0,0.0,non-sequential
859,0,1.0,non-sequential
860,0,1.0,non-sequential
861,0,1.0,non-sequential
862,0,1.0,non-sequential
863,0,1.0,non-sequential
864,0,0.0,non-sequential
865,0,0.0,non-sequential
866,0,1.0,non-sequential
867,0,0.0,non-sequential
868,0,0.0,non-sequential
869,0,1.0,non-sequential
870,0,1.0,non-sequential
871,0,1.0,non-sequential
872,0,1.0,non-sequential
873,0,1.0,non-sequential
874,0,0.0,non-sequential
875,0,0.0,non-sequential
876,0,0.0,non-sequential
877,0,1.0,non-sequential
878,0,0.0,non-sequential
879,0,1.0,non-sequential
880,0,1.0,non-sequential
881,0,1.0,non-sequential
882,0,1.0,non-sequential
883,0,0.0,non-sequential
884,0,0.0,non-sequential
885,0,0.0,non-sequential
886,0,1.0,non-sequential
887,0,0.0,non-sequential
888,0,1.0,non-sequential
889,0,1.0,non-sequential
890,0,1.0,non-sequential
891,0,1.0,non-sequential
892,0,1.0,non-sequential
893,0,1.0,non-sequential
894,0,0.0,non-sequential
895,0,0.0,non-sequential
896,0,0.0,non-sequential
897,0,0.0,non-sequential
898,0,1.0,non-sequential
899,0,1.0,non-sequential
900,0,1.0,non-sequential
901,0,1.0,non-sequential
902,0,1.0,non-sequential
903,0,1.0,non-sequential
904,0,0.0,non-sequential
905,0,1.0,non-sequential
906,0,1.0,non-sequential
