model,epoch,bce,condition,architecture
6,31,0.008083946071565151,interleaved,Hebbian
6,32,0.008726530708372593,interleaved,Hebbian
6,33,0.008479632437229156,interleaved,Hebbian
6,34,0.008441216312348843,interleaved,Hebbian
6,35,0.008376911282539368,interleaved,Hebbian
6,36,0.0081784063950181,interleaved,Hebbian
6,37,0.008074971847236156,interleaved,Hebbian
6,38,0.007954451255500317,interleaved,Hebbian
6,39,0.007892157882452011,interleaved,Hebbian
6,40,0.009225897490978241,interleaved,Hebbian
7,0,0.020702842622995377,interleaved,Hebbian
7,1,0.017402833327651024,interleaved,Hebbian
7,2,0.01735631562769413,interleaved,Hebbian
7,3,0.0171196386218071,interleaved,Hebbian
7,4,0.016685521230101585,interleaved,Hebbian
7,5,0.016041554510593414,interleaved,Hebbian
7,6,0.015620765276253223,interleaved,Hebbian
7,7,0.015301738865673542,interleaved,Hebbian
7,8,0.014898162335157394,interleaved,Hebbian
7,9,0.014959115535020828,interleaved,Hebbian
7,10,0.013636081479489803,interleaved,Hebbian
7,11,0.013217480853199959,interleaved,Hebbian
7,12,0.012262213975191116,interleaved,Hebbian
7,13,0.011167020536959171,interleaved,Hebbian
7,14,0.010543937794864178,interleaved,Hebbian
7,15,0.011109826155006886,interleaved,Hebbian
7,16,0.010106517933309078,interleaved,Hebbian
7,17,0.010546136647462845,interleaved,Hebbian
7,18,0.00927120354026556,interleaved,Hebbian
7,19,0.009566115215420723,interleaved,Hebbian
7,20,0.009235246106982231,interleaved,Hebbian
7,21,0.00915478728711605,interleaved,Hebbian
7,22,0.008933953009545803,interleaved,Hebbian
7,23,0.00934575218707323,interleaved,Hebbian
7,24,0.009617234580218792,interleaved,Hebbian
7,25,0.010359929874539375,interleaved,Hebbian
7,26,0.008518846705555916,interleaved,Hebbian
7,27,0.008879471570253372,interleaved,Hebbian
7,28,0.008998059667646885,interleaved,Hebbian
7,29,0.010741204023361206,interleaved,Hebbian
7,30,0.008427564054727554,interleaved,Hebbian
7,31,0.008284632116556168,interleaved,Hebbian
7,32,0.00822446495294571,interleaved,Hebbian
7,33,0.008131949231028557,interleaved,Hebbian
7,34,0.008474021218717098,interleaved,Hebbian
7,35,0.008626441471278667,interleaved,Hebbian
7,36,0.0079859159886837,interleaved,Hebbian
7,37,0.007993239909410477,interleaved,Hebbian
7,38,0.007926136255264282,interleaved,Hebbian
7,39,0.008432000875473022,interleaved,Hebbian
7,40,0.007997952401638031,interleaved,Hebbian
8,0,0.0432138554751873,interleaved,Hebbian
8,1,0.01736382767558098,interleaved,Hebbian
8,2,0.016799479722976685,interleaved,Hebbian
8,3,0.016244960948824883,interleaved,Hebbian
8,4,0.015961769968271255,interleaved,Hebbian
8,5,0.015748774632811546,interleaved,Hebbian
8,6,0.015359260141849518,interleaved,Hebbian
8,7,0.014466137625277042,interleaved,Hebbian
8,8,0.014420216903090477,interleaved,Hebbian
8,9,0.013109761290252209,interleaved,Hebbian
8,10,0.012335141189396381,interleaved,Hebbian
8,11,0.012356044724583626,interleaved,Hebbian
8,12,0.011030659079551697,interleaved,Hebbian
8,13,0.010438336059451103,interleaved,Hebbian
8,14,0.011929785832762718,interleaved,Hebbian
8,15,0.009837128221988678,interleaved,Hebbian
8,16,0.009473757818341255,interleaved,Hebbian
8,17,0.009313706308603287,interleaved,Hebbian
8,18,0.008988271467387676,interleaved,Hebbian
8,19,0.009736145846545696,interleaved,Hebbian
8,20,0.010916399769484997,interleaved,Hebbian
8,21,0.010419202037155628,interleaved,Hebbian
8,22,0.008821661584079266,interleaved,Hebbian
8,23,0.008417792618274689,interleaved,Hebbian
8,24,0.008552726358175278,interleaved,Hebbian
8,25,0.00855028722435236,interleaved,Hebbian
8,26,0.008297255262732506,interleaved,Hebbian
8,27,0.008463858626782894,interleaved,Hebbian
8,28,0.00829077698290348,interleaved,Hebbian
8,29,0.008537528105080128,interleaved,Hebbian
8,30,0.008598585613071918,interleaved,Hebbian
8,31,0.008942649699747562,interleaved,Hebbian
8,32,0.008277134038507938,interleaved,Hebbian
8,33,0.0083588482812047,interleaved,Hebbian
8,34,0.008020445704460144,interleaved,Hebbian
8,35,0.007843841798603535,interleaved,Hebbian
8,36,0.007724940776824951,interleaved,Hebbian
8,37,0.007794665172696114,interleaved,Hebbian
8,38,0.007699214853346348,interleaved,Hebbian
8,39,0.00785775389522314,interleaved,Hebbian
8,40,0.0082298768684268,interleaved,Hebbian
9,0,0.018079252913594246,interleaved,Hebbian
9,1,0.017618604004383087,interleaved,Hebbian
9,2,0.01743752881884575,interleaved,Hebbian
9,3,0.0171632282435894,interleaved,Hebbian
9,4,0.017075777053833008,interleaved,Hebbian
9,5,0.016683880239725113,interleaved,Hebbian
9,6,0.016852088272571564,interleaved,Hebbian
9,7,0.017123635858297348,interleaved,Hebbian
9,8,0.0160432867705822,interleaved,Hebbian
9,9,0.015548518858850002,interleaved,Hebbian
9,10,0.014771210961043835,interleaved,Hebbian
9,11,0.014003106392920017,interleaved,Hebbian
9,12,0.013476777821779251,interleaved,Hebbian
9,13,0.012473014183342457,interleaved,Hebbian
9,14,0.01210459042340517,interleaved,Hebbian
9,15,0.012873351573944092,interleaved,Hebbian
9,16,0.012180556543171406,interleaved,Hebbian
9,17,0.012768265791237354,interleaved,Hebbian
9,18,0.010913222096860409,interleaved,Hebbian
9,19,0.010831975378096104,interleaved,Hebbian
9,20,0.010138627141714096,interleaved,Hebbian
9,21,0.009480838663876057,interleaved,Hebbian
9,22,0.009184041991829872,interleaved,Hebbian
9,23,0.011173860169947147,interleaved,Hebbian
9,24,0.009378617629408836,interleaved,Hebbian
9,25,0.008939088322222233,interleaved,Hebbian
9,26,0.009104750119149685,interleaved,Hebbian
9,27,0.009119524620473385,interleaved,Hebbian
9,28,0.00876505859196186,interleaved,Hebbian
9,29,0.009669328108429909,interleaved,Hebbian
9,30,0.008701697923243046,interleaved,Hebbian
9,31,0.00854626577347517,interleaved,Hebbian
9,32,0.008448074571788311,interleaved,Hebbian
9,33,0.008584692142903805,interleaved,Hebbian
9,34,0.009967348538339138,interleaved,Hebbian
9,35,0.009090021252632141,interleaved,Hebbian
9,36,0.008595404215157032,interleaved,Hebbian
9,37,0.01090756244957447,interleaved,Hebbian
9,38,0.008447611704468727,interleaved,Hebbian
9,39,0.008650733157992363,interleaved,Hebbian
9,40,0.008373538963496685,interleaved,Hebbian
0,0,0.018437474966049194,blocked,Hebbian
0,1,0.01820147968828678,blocked,Hebbian
0,2,0.017526444047689438,blocked,Hebbian
0,3,0.01796620897948742,blocked,Hebbian
0,4,0.017471034079790115,blocked,Hebbian
