model,rt,error,size_condition,cat_condition,rand_condition,block_type
0,5.1823514e-05,0.0,s_ma,c_ms,c_ms,blocked
0,7.582399e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.36446676,0.0,s_ms,c_ms,c_ms,blocked
0,0.4794398,0.0,s_ms,c_ms,c_ma,blocked
0,0.36992753,0.0,s_ms,c_ms,c_ma,blocked
0,0.5032991,1.0,s_ms,c_ms,c_ms,blocked
0,0.42018205,0.0,s_ms,c_ms,c_ma,blocked
0,1.4299089e-05,0.0,s_ma,c_ma,c_ms,blocked
0,5.3416778e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.00010572137,0.0,s_ma,c_ma,c_ma,blocked
0,6.719289e-06,0.0,s_ma,c_ma,c_ma,blocked
0,0.59437835,1.0,s_ms,c_ma,c_ms,blocked
0,0.42204422,0.0,s_ms,c_ma,c_ma,blocked
0,0.5343686,1.0,s_ms,c_ma,c_ms,blocked
0,0.5571921,1.0,s_ms,c_ma,c_ma,blocked
0,0.46928042,0.0,s_ms,c_ma,c_ms,blocked
0,0.00019938215,0.0,s_ma,c_ms,c_ms,blocked
0,4.719237e-05,0.0,s_ma,c_ms,c_ma,blocked
0,3.845786e-05,0.0,s_ma,c_ms,c_ms,blocked
0,4.214948e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.4742287e-05,0.0,s_ma,c_ms,c_ma,blocked
0,0.29577345,0.0,s_ms,c_ms,c_ma,blocked
0,0.4188836,0.0,s_ms,c_ms,c_ms,blocked
0,0.315889,0.0,s_ms,c_ms,c_ms,blocked
0,0.32743526,0.0,s_ms,c_ms,c_ma,blocked
0,0.26033956,0.0,s_ms,c_ms,c_ms,blocked
0,1.7866165e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.000120529825,0.0,s_ma,c_ma,c_ma,blocked
0,2.0650867e-05,0.0,s_ma,c_ma,c_ms,blocked
0,2.3347762e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.3710361,0.0,s_ms,c_ma,c_ma,blocked
0,0.3851415,0.0,s_ms,c_ma,c_ms,blocked
0,0.47889107,0.0,s_ms,c_ma,c_ma,blocked
0,0.45177007,0.0,s_ms,c_ma,c_ms,blocked
0,0.40908945,0.0,s_ms,c_ma,c_ma,blocked
0,2.4292858e-06,0.0,s_ma,c_ms,c_ms,blocked
0,2.6832244e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.3301786e-05,0.0,s_ma,c_ms,c_ms,blocked
0,2.2686001e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.8388686e-05,0.0,s_ma,c_ms,c_ma,blocked
0,0.28864878,0.0,s_ms,c_ms,c_ma,blocked
0,0.42609167,0.0,s_ms,c_ms,c_ms,blocked
0,0.21578528,0.0,s_ms,c_ms,c_ms,blocked
0,0.4937176,0.0,s_ms,c_ms,c_ma,blocked
0,0.36292636,0.0,s_ms,c_ms,c_ms,blocked
0,4.9767354e-05,0.0,s_ma,c_ma,c_ms,blocked
0,9.2625e-05,0.0,s_ma,c_ma,c_ma,blocked
0,8.511645e-06,0.0,s_ma,c_ma,c_ms,blocked
0,3.1834486e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.37970704,0.0,s_ms,c_ma,c_ma,blocked
0,0.35886368,0.0,s_ms,c_ma,c_ms,blocked
0,0.3219124,0.0,s_ms,c_ma,c_ma,blocked
0,0.53780043,1.0,s_ms,c_ma,c_ms,blocked
0,0.3886249,0.0,s_ms,c_ma,c_ma,blocked
0,1.0765997e-06,0.0,s_ma,c_ms,c_ma,blocked
0,6.1157475e-06,0.0,s_ma,c_ms,c_ms,blocked
0,7.21719e-05,0.0,s_ma,c_ms,c_ma,blocked
0,5.1697707e-06,0.0,s_ma,c_ms,c_ms,blocked
0,3.548192e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.31293762,0.0,s_ms,c_ms,c_ms,blocked
0,0.35614803,0.0,s_ms,c_ms,c_ma,blocked
0,0.24019751,0.0,s_ms,c_ms,c_ma,blocked
0,0.4343207,0.0,s_ms,c_ms,c_ms,blocked
